Cod_Loc,IdProvincia,IdDepartamento,Categoría,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,Cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,año_act
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Mil Botellas Editorial,Calle 3 n° 2069,,1900,221,154555950,mil_botellas@yahoo.com.ar,milbotellas.blogspot.com,,-34.92049480,-57.95356570,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Pixel Editora,La Plata,,1900,221,4220356,identidad_pixel@hotmail.com,http://pixeleditora.com.ar/,,-34.92125000,-57.95433330,localización precisa,SInCA,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,"Platense, Editorial",Calle 15 Nº 644,,1900,221,4828070,,,,-34.90249700,-57.98461030,localización precisa,CAL,2019
06434010,06,06434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,Del Cronopio Azul,Florencio Varela 683,,1824,11,42256914,,,,-34.68993750,-58.38536220,localización precisa,CAL,2019
06434010,06,06434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,EdUNLa,29 de Septiembre 3901,,1824,11, 63229200 int. 5727,edunla@unla.edu.ar,www.unla.edu.ar,,-34.73534000,-58.39017900,localización precisa,ISBN,2019
06434010,06,06434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,Nuestra America,Carlos Tejedor 721,,1824,11,42472140,,,,-34.70268300,-58.40221800,localización precisa,CAL,2019
06476030,06,06476,Editoriales de Libros,Buenos Aires,Loberia,Loberia,Grupo Dinámica,Suárez García 430,,7635,2262,15480003,editdinam@hotmail.com,,,-38.15855530,-58.78503900,localización precisa,ISBN,2019
06490010,06,06490,Editoriales de Libros,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Ediciones Aldea Hippie / R y C Editora,Araoz 512,,,11,42480731,rodocampi@yahoo.com.ar,ryceditora.com.ar/index.html,,-34.73604500,-58.40062400,localización precisa,ISBN,2019
06497060,06,06497,Editoriales de Libros,Buenos Aires,Lujan,Lujan,EdUnlu,Ruta Nacional 5 y Av. Constitucion 0,,,2323,420380,mvinjoy@unlu.edu.ar,www.edunlu.unlu.edu.ar/,,-34.57733500,-59.08847900,localización precisa,SInCA,2019
06515010,06,06515,Editoriales de Libros,Buenos Aires,Malvinas Argentinas,Malvinas Argentinas,Un. Nac. De Gral Sarmiento,Jose Maria Gutierrez 1150,,1613,11,44697686,,,,-34.52084200,-58.70027300,localización precisa,CAL,2019
06357110,06,06357,Editoriales de Libros,Buenos Aires,General Pueyrredon,Mar del Plata,EUDEM,Diagonal Juan B. Alberdi 2695,,7600,223, 4752333 int.: 35,ceiram@mdp.edu.ar,,,-37.99717570,-57.54624330,localización precisa,SInCA,2019
06357110,06,06357,Editoriales de Libros,Buenos Aires,General Pueyrredon,Mar del Plata,Suárez,General Roca 4091,,7602,223,4749794,info@edicionessuarez.com.ar,edicionessuarez.com.ar,,-38.00470100,-57.57200800,localización precisa,ISBN,2019
06560010,06,06560,Editoriales de Libros,Buenos Aires,Moreno,Moreno,UNM Editora,Bartolome Mitre 1891,,1744,237,4867186,,,,-34.65258510,-58.77696140,localización precisa,CAL,2019
06568010,06,06568,Editoriales de Libros,Buenos Aires,Moron,Moron,Ovni Press,El Ceibo 271,,1706,11,46592318,,,,-34.65087740,-58.58729770,localización precisa,CAL,2019
06568010,06,06568,Editoriales de Libros,Buenos Aires,Moron,Moron,Praia,Salta 203,,1708,11,1544213177,edicionespraia@hotmail.com,,,-34.64638660,-58.62106760,localización precisa,ISBN,2019
06581040,06,06581,Editoriales de Libros,Buenos Aires,Necochea,Necochea - Quequen,DFL Ediciones,Av. 79 345,,,2262,439263,dfl_necochea@yahoo.com.ar,www.dflediciones.com.ar/,,-38.57875100,-58.72850900,localización precisa,ISBN,2019
06623100,06,06623,Editoriales de Libros,Buenos Aires,Pergamino,Pergamino,Rodriguez Leonardo Daniel,Pergamino 533,,1406,11,157372256,,,,-33.89128310,-60.57459990,localización precisa,CAL,2019
06638040,06,06638,Editoriales de Libros,Buenos Aires,Pilar,Pilar,Casa Nazarena de Publicaciones,Av. Pte. Peron 3251,,1635,2322,488028,,,,-34.47626180,-58.85128920,localización precisa,CAL,2019
06638040,06,06638,Editoriales de Libros,Buenos Aires,Pilar,Pilar,M. Laffitte Ediciones,Av. Pte. Perón 3251,,,11,27390143,mlaffitteediciones@gmail.com,https://marcelolaffitte.mercadoshops.com.ar/,,-34.47626180,-58.85128920,localización precisa,ISBN,2019
06658010,06,06658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Editorial de la Universidad de Quilmes,Roque Saenz Pena 352,,1878,11,43657100,editorial@unq.edu.ar,www.unq.edu.ar,,-34.70646700,-58.27712800,localización precisa,ISBN,2019
06658010,06,06658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Jarmat,Boedo 1317,,1878,11,20647622,juan.jarmat@gmail.com,,,-34.72688100,-58.30040500,localización precisa,ISBN,2019
06658010,06,06658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Landeira,Av. Andres Baranda 62,,1878,11,42241175,,,,-34.71769050,-58.27484610,localización precisa,CAL,2019
06658010,06,06658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Tiempo Sur Ediciones,Mitre 531,Entrepiso,1878,11,42243318,tiemposur@argentina.com,,,-34.71965800,-58.25534000,localización precisa,ISBN,2019
06749010,06,06749,Editoriales de Libros,Buenos Aires,San Fernando,San Fernando,El Buen Libro,Henry Dunant 1360,,1646,11,67659949,,,,-34.44828960,-58.54992070,localización precisa,CAL,2019
06749010,06,06749,Editoriales de Libros,Buenos Aires,San Fernando,San Fernando,Milena Caserola,Constitucion 2722,,1646,11,47442611,losreck@hotmail.com,http://milenacaserola.blogspot.com/,,-34.45123300,-58.54366900,localización precisa,ISBN,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,"Antroposofica, Editorial",El Indio 1837,,1607,11,45096538,,,,-34.47082900,-58.52861020,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Arcadia Argentina Ediciones,Hipolito Yrigoyen 1125,,,11,47988962,edicion@arcadiaediciones.com,arcadiaediciones.com,,-34.49573100,-58.51373100,localización precisa,ISBN,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Del Cami Latina,Intendente Alfaro 109,,1641,11,47322266,,,,-34.48055190,-58.50506440,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Ediciones Del Pulpo Negro,Uruguay 802,,1643,11,47420848,,,,-34.45471000,-58.53177000,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Editorial Estrada S.A.,Av. Blanco Encalada 104,,1609,11,47088000,,www.editorialestrada.com.ar,,-34.49307200,-58.55207500,localización precisa,CAL/CAP,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,EVIA Ediciones,Billinghurst 460,,,11,47236243,info@eviaediciones.com,,,-34.48009800,-58.53383700,localización precisa,ISBN,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Grupo Union,Caseros 916,,1642,11,48273744,,,,-34.46199680,-58.50952150,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Kel,Emilio Frers 2228,,,11,47175603,info@kel-ediciones.com,www.kelediciones.com,,-34.50652126,-58.53191614,localización precisa,CAP,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Macmillan Publishers S.A.,Av. Blanco Encalada 104,,1609,11,47088000,,www.grupomacmillan.com.ar,,-34.49397200,-58.55297500,localización precisa,CAL/CAP,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Maizal Ediciones,Muñiz 438,,1640,11,47929496,,www.maizal.com,,-34.48975200,-58.49432500,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,My Special Book,Obispo Terrero 1546,,1642,11,47634888,,,,-34.48312050,-58.53199830,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Pistarelli Alejandro Jorge,Magallanes 906,,1642,11,1531960713,,,,-34.46441770,-58.50768030,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Puerto De Palos / Cántaro,Av. Blanco Encalada 104,,1609,11,49021093,ar.catalogaciones@macmillaneducation.com,puertodepalos.com.ar,,-34.49334060,-58.55252900,localización precisa,CAL / ISBN,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Sandi Horacio Gustavo,Castro Barros 2131,,1640,11,1540415210,,,,-34.49883360,-58.51761280,localización precisa,CAL,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Unishop S.A. / Boutique Del Libro,Arenales 2048,,1640,2901,424750,,www.boutiquedellibro.com.ar,,-34.48887270,-58.49820290,localización precisa,CAL/CAP,2019
06756010,06,06756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Vicens Vives Argentina,Centenario 1528,,,11,47437677,mjimenez@vicensvives.com.ar,www.vicensvives.com.ar,,-34.46330400,-58.52467300,localización precisa,CAP,2019
06760010,06,06760,Editoriales de Libros,Buenos Aires,San Miguel,San Miguel,Libros Condor,Lago Traful 1350,,1661,11,1565956740,,,,-34.58354630,-58.69892090,localización precisa,CAL,2019
06763050,06,06763,Editoriales de Libros,Buenos Aires,San Nicolas,San Nicolas de los Arroyos,Yaguarón Ediciones,Benítez 123,,,336,4431921,pedrodevicari@hotmail.com,,,-33.33949640,-60.20207800,localización precisa,ISBN,2019
06791050,06,06791,Editoriales de Libros,Buenos Aires,Tandil,Tandil,Editorial UNICEN,Pinto 399,Piso 2,,249,4422000,,www.unicen.edu.ar,,-37.32856800,-59.13852600,localización precisa,ISBN,2019
06805010,06,06805,Editoriales de Libros,Buenos Aires,Tigre,Tigre,Ledargsa SA,Av. General Belbrano 2813,,,11, 47270543,,https://www.lexuseditores.com/argentina/,,-34.47765470,-58.62710100,localización precisa,CAP,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,AqL / Élide Editores,Jonas Salk 1279,,1692,11,52933628,edicionesaql@yahoo.com.ar,,,-34.56154810,-58.61306500,localización precisa,ISBN,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Dosyuna Ediciones Argentinas,Alianza 586,,,11,46579183,,www.dosyunaediciones.com.ar,,-34.64655300,-58.53670600,localización precisa,ISBN,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Ediciones Enepe,Dante 4065,,1676,11,47592930,,,,-34.59837420,-58.55186880,localización precisa,CAL,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,EDUNTREF,Valentín Gómez 4838,,1676,11,45196010,distribucioneduntref@untref.edu.ar,http://eduntref.com.ar,,-34.60511250,-58.56433680,localización precisa,ISBN,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Gradifco,Viamonte 2632,,1678,11,47505688,info@gradifco.com.ar,http://www.gradifco.com.ar,,-34.61446720,-58.54189800,localización precisa,ISBN,2019
06840010,06,06840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Imaginate Editorial,Florentino Ameghino 3206,8,,,,editorialimaginante@hotmail.com,http://www.editorialimaginante.com.ar/,,-34.59821780,-58.53271180,localización precisa,SInCA,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,A.C.E.S.,Av. San Martin 4555,,1604,11,55444800,,https://editorialaces.com,,-34.54174400,-58.52031100,localización precisa,CAL / ISBN,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Barcelbaires,Av. Del Libertador 650,5º,1638,11,49619001,,,,-34.52817560,-58.47097780,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Bookfactory.Com Srl,Beruti 1560,,1602,11,47602300,,,,-34.54396560,-58.52656650,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Cauquen Editora,Estanislao del Campo 1159,Piso 1° A,,11,1544064275,rosacolombo@arnet.com.ar,rosacolombo.weebly.com,,-34.53749160,-58.50323480,localización precisa,ISBN,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Dirac Dist. S.A,Av. Cnel. Francisco Uzal 3556,,,11,47992008,,www.sddistribuciones.com,,-34.51256180,-58.51321350,localización precisa,CAP,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Editorial Médica AWWE,Uspallata 735,3ro,1638,11,47978662,,http://www.emawwe.com,,-34.53457100,-58.46807300,localización precisa,ISBN,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Grama Ediciones,Av. Maipu 3511,1º A,1636,11,52932275,,www.gramaediciones.com.ar,,-34.50359400,-58.49463100,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Kairos, Ediciones",Caseros 1275,,1602,11,47963306,,,,-34.52792820,-58.48601200,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,La Revisteria Comics,Uzal 3560,,1636,,,,,,-34.51251220,-58.51322690,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Lenguaje Claro Editora,Portugal 2951,,1605,,,getenner@lenguajeclaro.com,www.lenguajeclaro.com,,-34.52827900,-58.53685100,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Patagonia Sur Libros,Curupayti 1476/80,,1607,,,,,,-34.52812050,-58.47381600,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Pequeña Hoja Editor,L. De La Torre 274,,1638,,,,,,-34.53373550,-58.47471420,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Photo Design, Ediciones",Av. Maipu 1335,16 - D,1638,,,,,,-34.52516430,-58.48275950,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Quondam,Gobernador Vernet 520,"11º  ""B""",1638,,,,,,-34.52354400,-58.47155600,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Valletta, Ediciones",Laprida 1780,,1602,,,,www.vallettaediciones.com,,-34.53655400,-58.47986000,localización precisa,CAL,2019
06861010,06,06861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Wolkowicz Editores,General Martin Miguel de Guemes 2128,,1638,11, 4094 6351,info@wolkowiczeditores.com.ar,,,-34.53200700,-58.47327600,localización precisa,ISBN,2019
10049030,10,10049,Editoriales de Libros,Catamarca,Capital,San Fernando del Valle de Catamarca,Editorial Cientifica Universitaria,Av. Belgrano 300,P. A.,4700,,,,www.unca.edu.ar,,-28.46060100,-65.78321900,localización precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Contexto,Hipolito Hirigoyen 399,,3500,3624,4449652,,,,-27.45341800,-58.98210100,localización precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Ediciones Joselin,Rivadavia 180,Piso 3,9000,297,4476024,,,,-45.86215000,-67.47659700,localización precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Editorial de la Universidad Nacional del Nordeste EUDENE,Las Heras 727,,3500,362,4420076,editorial@ing.unne.edu.ar,unne.edu.ar,,-27.46421350,-58.98366760,localización precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Jerez Editores,Ameghino 763,,3500,3722,431944,,,,-27.46020000,-58.98331900,localización precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Librería de la Paz,Av. 9 de Julio 359,,3500,,,,,,-27.45403500,-58.98339200,localización precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Placeres Perfectos,Av. Castelii 314,,3500,3624,438000,,,,-27.46013790,-58.99084280,localización precisa,CAL,2019
26021030,26,26021,Editoriales de Libros,Chubut,Escalante,Comodoro Rivadavia,Vela al Viento Ediciones Patagonicas,Rivadavia 880,,9000,,,,,,-45.86214900,-67.48736800,localización precisa,ISBN,2019
26014090,26,26014,Editoriales de Libros,Chubut,Cushamen,Lago Puelo,Espacio Hudson,Casilla de Correo Número 1,,9211,297,5002745,,http://espaciohudson.com/,,-42.06142310,-71.59844020,localización precisa,ISBN,2019
26007020,26,26007,Editoriales de Libros,Chubut,Biedma,Puerto Madryn,Extremo Sur,Quilimbay 2564,,9120,280,154592297,,,,-42.80635260,-65.04505420,localización precisa,CAL,2019
26077030,26,26077,Editoriales de Libros,Chubut,Rawson,Rawson,Fondo Editorial Provincial,Federicci 216,,9103,,,,www.chubut.gov.ar,,-43.29697800,-65.10565300,localización precisa,SInCA,2019
26077040,26,26077,Editoriales de Libros,Chubut,Rawson,Trelew,Remitente Patagonia,Moreno 458,,9100,280,154629134,remitentepatagonia@gmail.com,https://remitentepatagonia.com.ar/,,-43.25213242,-65.30248418,localización precisa,ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,A&L Editores / Angrisani Ediciones,Jose Bonifacio 2140,Piso Pb Depto. 5,,11,20644314,consultas@ayleditores.com.ar,www.ayleditores.com.ar,,-34.63014200,-58.46375800,localización precisa,ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Abaco,Viamonte 1336,6? Of.34,1053,11,43711675,,www.abacoeditorial.com.ar,,-34.60054900,-58.38583400,localización precisa,CAL / ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Abarcar Ediciones,Pedro Goyena 1231,4? A,1406,11,62213312,,,,-34.62692850,-58.44479920,localización precisa,CAL,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,"Abran Cancha, Ediciones",Gorriti 3909,,1172,11,4864267,,www.abrancancha.com,,-34.59544500,-58.41992200,localización precisa,CAL,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,"ABRE, El Gato y La Caja",Teodoro Garcia 2474,,,11,1554753011,flor@abrecultura.com,https://www.abrecultura.com/,,-34.57062710,-58.44625420,localización precisa,ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Acercandonos Editorial / Avellaneda Edita / Editorial Bases / La Página del Centro /,Cochabamba 894,,,11,43009506,acercandonos@gmail.com,www.acercandonoscultura.com.ar,,-34.62366500,-58.37848600,localización precisa,ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ad-Hoc,Viamonte 1450?,,,,,,,,-34.60062500,-58.38739800,localización precisa,ISBN,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Adriana Hidalgo,Francisco De Vittoria 2324,PB,1425,11,48037390,,,,-34.58652000,-58.39641400,localización precisa,CAL,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Agape Libros,Jos? Cubas 3469,,1419,11,45039959,,,,-34.59317130,-58.50769320,localización precisa,CAL,2019
02000010,02,02000,Editoriales de Libros,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Aique Grupo Editor / Larousse Argentina,Francisco Acuña de Figueroa 352,,,11,48654082,rmunoz@aique.com.ar,www.aique.com.ar,,-34.60691700,-58.42298200,localización precisa,CAP,2019
