number;Indicator;Group;State;Subgroup;Phase;Time Period;Time Period Label;Time Period Start Date;Time Period End Date;Value;Low CI;High CI;Confidence Interval;Quartile Range
15;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic, other races and multiple races;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.3;24.8;32.0;24.8 - 32.0;
16;Symptoms of Depressive Disorder;By Education;United States;Less than a high school diploma;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.7;27.8;38.0;27.8 - 38.0;
17;Symptoms of Depressive Disorder;By Education;United States;High school diploma or GED;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.4;23.9;26.9;23.9 - 26.9;
18;Symptoms of Depressive Disorder;By Education;United States;Some college/Associate's degree;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.6;24.4;26.9;24.4 - 26.9;
19;Symptoms of Depressive Disorder;By Education;United States;Bachelor's degree or higher;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;17.6;16.8;18.4;16.8 - 18.4;
20;Symptoms of Depressive Disorder;By State;Alabama;Alabama;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;18.6;14.6;23.1;14.6 - 23.1;16.5 - 20.7
21;Symptoms of Depressive Disorder;By State;Alaska;Alaska;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;19.2;16.8;21.8;16.8 - 21.8;16.5 - 20.7
22;Symptoms of Depressive Disorder;By State;Arizona;Arizona;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.4;19.4;25.5;19.4 - 25.5;22.2 - 24.0
23;Symptoms of Depressive Disorder;By State;Arkansas;Arkansas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.6;22.3;31.3;22.3 - 31.3;24.1 - 28.7
24;Symptoms of Depressive Disorder;By State;California;California;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.4;22.5;28.6;22.5 - 28.6;24.1 - 28.7
25;Symptoms of Depressive Disorder;By State;Colorado;Colorado;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.0;19.4;24.9;19.4 - 24.9;20.8 - 22.1
26;Symptoms of Depressive Disorder;By State;Connecticut;Connecticut;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.4;20.1;29.1;20.1 - 29.1;24.1 - 28.7
27;Symptoms of Depressive Disorder;By State;Delaware;Delaware;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.1;17.6;24.9;17.6 - 24.9;20.8 - 22.1
28;Symptoms of Depressive Disorder;By State;District of Columbia;District of Columbia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.4;22.1;31.1;22.1 - 31.1;24.1 - 28.7
29;Symptoms of Depressive Disorder;By State;Florida;Florida;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.5;19.7;25.4;19.7 - 25.4;22.2 - 24.0
30;Symptoms of Depressive Disorder;By State;Georgia;Georgia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.6;21.4;30.2;21.4 - 30.2;24.1 - 28.7
31;Symptoms of Depressive Disorder;By State;Hawaii;Hawaii;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.0;14.9;26.1;14.9 - 26.1;16.5 - 20.7
32;Symptoms of Depressive Disorder;By State;Idaho;Idaho;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.6;17.3;24.1;17.3 - 24.1;16.5 - 20.7
33;Symptoms of Depressive Disorder;By State;Illinois;Illinois;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.3;19.6;27.2;19.6 - 27.2;22.2 - 24.0
34;Symptoms of Depressive Disorder;By State;Indiana;Indiana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.4;22.1;31.0;22.1 - 31.0;24.1 - 28.7
35;Symptoms of Depressive Disorder;By State;Iowa;Iowa;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;16.5;13.7;19.6;13.7 - 19.6;16.5 - 20.7
36;Symptoms of Depressive Disorder;By State;Kansas;Kansas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.1;18.3;26.4;18.3 - 26.4;20.8 - 22.1
37;Symptoms of Depressive Disorder;By State;Kentucky;Kentucky;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.2;19.4;27.4;19.4 - 27.4;22.2 - 24.0
38;Symptoms of Depressive Disorder;By State;Louisiana;Louisiana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.1;24.1;32.4;24.1 - 32.4;24.1 - 28.7
39;Symptoms of Depressive Disorder;By State;Maine;Maine;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;19.5;16.0;23.5;16.0 - 23.5;16.5 - 20.7
40;Symptoms of Depressive Disorder;By State;Maryland;Maryland;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.9;17.9;24.1;17.9 - 24.1;20.8 - 22.1
41;Symptoms of Depressive Disorder;By State;Massachusetts;Massachusetts;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.9;22.7;29.4;22.7 - 29.4;24.1 - 28.7
42;Symptoms of Depressive Disorder;By State;Michigan;Michigan;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.5;22.0;29.4;22.0 - 29.4;24.1 - 28.7
43;Symptoms of Depressive Disorder;By State;Minnesota;Minnesota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.4;17.7;23.4;17.7 - 23.4;16.5 - 20.7
44;Symptoms of Depressive Disorder;By State;Mississippi;Mississippi;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.9;18.7;27.6;18.7 - 27.6;22.2 - 24.0
45;Symptoms of Depressive Disorder;By State;Missouri;Missouri;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.0;17.9;24.5;17.9 - 24.5;20.8 - 22.1
46;Symptoms of Depressive Disorder;By State;Montana;Montana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;18.2;14.9;21.8;14.9 - 21.8;16.5 - 20.7
47;Symptoms of Depressive Disorder;By State;Nebraska;Nebraska;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;19.1;15.3;23.3;15.3 - 23.3;16.5 - 20.7
48;Symptoms of Depressive Disorder;By State;Nevada;Nevada;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.6;19.1;28.7;19.1 - 28.7;22.2 - 24.0
49;Symptoms of Depressive Disorder;By State;New Hampshire;New Hampshire;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;19.5;16.5;22.7;16.5 - 22.7;16.5 - 20.7
50;Symptoms of Depressive Disorder;By State;New Jersey;New Jersey;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.6;20.4;27.0;20.4 - 27.0;22.2 - 24.0
51;Symptoms of Depressive Disorder;By State;New Mexico;New Mexico;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.4;18.3;26.9;18.3 - 26.9;22.2 - 24.0
52;Symptoms of Depressive Disorder;By State;New York;New York;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.7;24.6;33.1;24.6 - 33.1;24.1 - 28.7
53;Symptoms of Depressive Disorder;By State;North Carolina;North Carolina;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.1;17.1;25.6;17.1 - 25.6;20.8 - 22.1
54;Symptoms of Depressive Disorder;By State;North Dakota;North Dakota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;17.0;13.7;20.7;13.7 - 20.7;16.5 - 20.7
55;Symptoms of Depressive Disorder;By State;Ohio;Ohio;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.2;18.2;24.5;18.2 - 24.5;20.8 - 22.1
56;Symptoms of Depressive Disorder;By State;Oklahoma;Oklahoma;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.8;16.4;25.7;16.4 - 25.7;20.8 - 22.1
57;Symptoms of Depressive Disorder;By State;Oregon;Oregon;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.5;19.7;25.4;19.7 - 25.4;22.2 - 24.0
58;Symptoms of Depressive Disorder;By State;Pennsylvania;Pennsylvania;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.7;21.6;28.1;21.6 - 28.1;24.1 - 28.7
59;Symptoms of Depressive Disorder;By State;Rhode Island;Rhode Island;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.5;19.9;29.7;19.9 - 29.7;24.1 - 28.7
60;Symptoms of Depressive Disorder;By State;South Carolina;South Carolina;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.6;17.9;25.7;17.9 - 25.7;20.8 - 22.1
61;Symptoms of Depressive Disorder;By State;South Dakota;South Dakota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;17.5;13.0;22.7;13.0 - 22.7;16.5 - 20.7
62;Symptoms of Depressive Disorder;By State;Tennessee;Tennessee;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.2;17.2;27.8;17.2 - 27.8;22.2 - 24.0
63;Symptoms of Depressive Disorder;By State;Texas;Texas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.4;21.1;27.9;21.1 - 27.9;24.1 - 28.7
64;Symptoms of Depressive Disorder;By State;Utah;Utah;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.9;20.0;26.0;20.0 - 26.0;22.2 - 24.0
65;Symptoms of Depressive Disorder;By State;Vermont;Vermont;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.7;15.9;26.3;15.9 - 26.3;16.5 - 20.7
66;Symptoms of Depressive Disorder;By State;Virginia;Virginia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.5;18.0;25.3;18.0 - 25.3;20.8 - 22.1
67;Symptoms of Depressive Disorder;By State;Washington;Washington;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.1;19.7;24.7;19.7 - 24.7;20.8 - 22.1
68;Symptoms of Depressive Disorder;By State;West Virginia;West Virginia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.4;19.5;27.6;19.5 - 27.6;22.2 - 24.0
69;Symptoms of Depressive Disorder;By State;Wisconsin;Wisconsin;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.0;19.2;25.0;19.2 - 25.0;20.8 - 22.1
70;Symptoms of Depressive Disorder;By State;Wyoming;Wyoming;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;18.9;15.3;22.9;15.3 - 22.9;16.5 - 20.7
71;Symptoms of Anxiety Disorder;National Estimate;United States;United States;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.8;30.0;31.7;30.0 - 31.7;
72;Symptoms of Anxiety Disorder;By Age;United States;18 - 29 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;40.2;38.1;42.4;38.1 - 42.4;
73;Symptoms of Anxiety Disorder;By Age;United States;30 - 39 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;34.4;32.6;36.1;32.6 - 36.1;
74;Symptoms of Anxiety Disorder;By Age;United States;40 - 49 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;34.1;32.1;36.2;32.1 - 36.2;
75;Symptoms of Anxiety Disorder;By Age;United States;50 - 59 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.0;29.0;33.1;29.0 - 33.1;
76;Symptoms of Anxiety Disorder;By Age;United States;60 - 69 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.9;23.6;26.3;23.6 - 26.3;
77;Symptoms of Anxiety Disorder;By Age;United States;70 - 79 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;16.4;14.8;18.1;14.8 - 18.1;
78;Symptoms of Anxiety Disorder;By Age;United States;80 years and above;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;14.6;11.5;18.2;11.5 - 18.2;
79;Symptoms of Anxiety Disorder;By Sex;United States;Male;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.1;24.7;27.5;24.7 - 27.5;
80;Symptoms of Anxiety Disorder;By Sex;United States;Female;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;35.4;34.5;36.3;34.5 - 36.3;
81;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Hispanic or Latino;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;36.3;33.4;39.2;33.4 - 39.2;
82;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic White, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;29.0;28.2;29.9;28.2 - 29.9;
83;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Black, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.8;30.3;35.5;30.3 - 35.5;
84;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Asian, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.3;23.6;29.1;23.6 - 29.1;
85;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic, other races and multiple races;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;38.2;34.3;42.3;34.3 - 42.3;
86;Symptoms of Anxiety Disorder;By Education;United States;Less than a high school diploma;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;37.3;32.4;42.4;32.4 - 42.4;
87;Symptoms of Anxiety Disorder;By Education;United States;High school diploma or GED;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.6;29.0;32.3;29.0 - 32.3;
88;Symptoms of Anxiety Disorder;By Education;United States;Some college/Associate's degree;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;33.5;32.0;35.1;32.0 - 35.1;
89;Symptoms of Anxiety Disorder;By Education;United States;Bachelor's degree or higher;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.0;26.3;27.8;26.3 - 27.8;
90;Symptoms of Anxiety Disorder;By State;Alabama;Alabama;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.6;20.7;30.9;20.7 - 30.9;21.7 - 27.8
91;Symptoms of Anxiety Disorder;By State;Alaska;Alaska;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.7;24.8;30.7;24.8 - 30.7;21.7 - 27.8
92;Symptoms of Anxiety Disorder;By State;Arizona;Arizona;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.3;28.0;36.8;28.0 - 36.8;31.7 - 37.0
93;Symptoms of Anxiety Disorder;By State;Arkansas;Arkansas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;33.7;28.2;39.6;28.2 - 39.6;31.7 - 37.0
94;Symptoms of Anxiety Disorder;By State;California;California;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.8;28.2;33.5;28.2 - 33.5;30.4 - 31.6
95;Symptoms of Anxiety Disorder;By State;Colorado;Colorado;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.6;29.2;36.2;29.2 - 36.2;31.7 - 37.0
96;Symptoms of Anxiety Disorder;By State;Connecticut;Connecticut;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;34.9;30.0;40.0;30.0 - 40.0;31.7 - 37.0
97;Symptoms of Anxiety Disorder;By State;Delaware;Delaware;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;29.9;25.5;34.6;25.5 - 34.6;27.9 - 30.3
98;Symptoms of Anxiety Disorder;By State;District of Columbia;District of Columbia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.4;27.9;35.1;27.9 - 35.1;30.4 - 31.6
99;Symptoms of Anxiety Disorder;By State;Florida;Florida;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.6;29.7;35.6;29.7 - 35.6;31.7 - 37.0
100;Symptoms of Anxiety Disorder;By State;Georgia;Georgia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.9;28.1;35.9;28.1 - 35.9;31.7 - 37.0
101;Symptoms of Anxiety Disorder;By State;Hawaii;Hawaii;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.3;27.1;37.8;27.1 - 37.8;31.7 - 37.0
102;Symptoms of Anxiety Disorder;By State;Idaho;Idaho;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.9;23.7;30.2;23.7 - 30.2;21.7 - 27.8
103;Symptoms of Anxiety Disorder;By State;Illinois;Illinois;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.1;27.0;35.4;27.0 - 35.4;30.4 - 31.6
104;Symptoms of Anxiety Disorder;By State;Indiana;Indiana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.8;27.5;36.4;27.5 - 36.4;31.7 - 37.0
105;Symptoms of Anxiety Disorder;By State;Iowa;Iowa;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.5;19.0;26.2;19.0 - 26.2;21.7 - 27.8
106;Symptoms of Anxiety Disorder;By State;Kansas;Kansas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.4;22.0;31.2;22.0 - 31.2;21.7 - 27.8
107;Symptoms of Anxiety Disorder;By State;Kentucky;Kentucky;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.6;28.1;35.3;28.1 - 35.3;30.4 - 31.6
108;Symptoms of Anxiety Disorder;By State;Louisiana;Louisiana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;34.4;29.7;39.3;29.7 - 39.3;31.7 - 37.0
109;Symptoms of Anxiety Disorder;By State;Maine;Maine;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;29.5;25.9;33.3;25.9 - 33.3;27.9 - 30.3
110;Symptoms of Anxiety Disorder;By State;Maryland;Maryland;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.7;24.6;31.1;24.6 - 31.1;21.7 - 27.8
111;Symptoms of Anxiety Disorder;By State;Massachusetts;Massachusetts;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;37.0;33.3;40.7;33.3 - 40.7;31.7 - 37.0
112;Symptoms of Anxiety Disorder;By State;Michigan;Michigan;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.5;28.6;36.7;28.6 - 36.7;31.7 - 37.0
113;Symptoms of Anxiety Disorder;By State;Minnesota;Minnesota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.5;25.2;32.0;25.2 - 32.0;27.9 - 30.3
114;Symptoms of Anxiety Disorder;By State;Mississippi;Mississippi;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.3;24.7;36.3;24.7 - 36.3;27.9 - 30.3
115;Symptoms of Anxiety Disorder;By State;Missouri;Missouri;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.4;25.8;35.4;25.8 - 35.4;30.4 - 31.6
116;Symptoms of Anxiety Disorder;By State;Montana;Montana;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.8;19.6;26.3;19.6 - 26.3;21.7 - 27.8
117;Symptoms of Anxiety Disorder;By State;Nebraska;Nebraska;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.2;20.6;28.0;20.6 - 28.0;21.7 - 27.8
118;Symptoms of Anxiety Disorder;By State;Nevada;Nevada;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.4;27.3;35.7;27.3 - 35.7;30.4 - 31.6
119;Symptoms of Anxiety Disorder;By State;New Hampshire;New Hampshire;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.3;27.1;35.7;27.1 - 35.7;30.4 - 31.6
120;Symptoms of Anxiety Disorder;By State;New Jersey;New Jersey;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.4;28.2;34.7;28.2 - 34.7;30.4 - 31.6
121;Symptoms of Anxiety Disorder;By State;New Mexico;New Mexico;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.9;23.9;32.2;23.9 - 32.2;27.9 - 30.3
122;Symptoms of Anxiety Disorder;By State;New York;New York;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;36.1;32.1;40.2;32.1 - 40.2;31.7 - 37.0
123;Symptoms of Anxiety Disorder;By State;North Carolina;North Carolina;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.0;25.1;35.3;25.1 - 35.3;27.9 - 30.3
124;Symptoms of Anxiety Disorder;By State;North Dakota;North Dakota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.7;18.3;25.5;18.3 - 25.5;21.7 - 27.8
125;Symptoms of Anxiety Disorder;By State;Ohio;Ohio;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.1;27.4;35.1;27.4 - 35.1;30.4 - 31.6
126;Symptoms of Anxiety Disorder;By State;Oklahoma;Oklahoma;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.6;24.9;32.4;24.9 - 32.4;27.9 - 30.3
127;Symptoms of Anxiety Disorder;By State;Oregon;Oregon;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.5;28.0;35.1;28.0 - 35.1;30.4 - 31.6
128;Symptoms of Anxiety Disorder;By State;Pennsylvania;Pennsylvania;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;31.0;27.5;34.7;27.5 - 34.7;30.4 - 31.6
129;Symptoms of Anxiety Disorder;By State;Rhode Island;Rhode Island;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.6;23.4;32.0;23.4 - 32.0;21.7 - 27.8
130;Symptoms of Anxiety Disorder;By State;South Carolina;South Carolina;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.8;24.0;31.7;24.0 - 31.7;21.7 - 27.8
131;Symptoms of Anxiety Disorder;By State;South Dakota;South Dakota;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;22.1;17.3;27.6;17.3 - 27.6;21.7 - 27.8
132;Symptoms of Anxiety Disorder;By State;Tennessee;Tennessee;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.2;22.8;34.0;22.8 - 34.0;27.9 - 30.3
133;Symptoms of Anxiety Disorder;By State;Texas;Texas;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;29.7;25.9;33.7;25.9 - 33.7;27.9 - 30.3
134;Symptoms of Anxiety Disorder;By State;Utah;Utah;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.9;24.9;33.1;24.9 - 33.1;27.9 - 30.3
135;Symptoms of Anxiety Disorder;By State;Vermont;Vermont;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.6;25.6;35.8;25.6 - 35.8;30.4 - 31.6
136;Symptoms of Anxiety Disorder;By State;Virginia;Virginia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.5;25.4;31.8;25.4 - 31.8;27.9 - 30.3
137;Symptoms of Anxiety Disorder;By State;Washington;Washington;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;30.6;27.7;33.7;27.7 - 33.7;30.4 - 31.6
138;Symptoms of Anxiety Disorder;By State;West Virginia;West Virginia;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.8;24.0;33.9;24.0 - 33.9;27.9 - 30.3
139;Symptoms of Anxiety Disorder;By State;Wisconsin;Wisconsin;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;27.1;24.1;30.2;24.1 - 30.2;21.7 - 27.8
140;Symptoms of Anxiety Disorder;By State;Wyoming;Wyoming;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.9;21.0;29.2;21.0 - 29.2;21.7 - 27.8
141;Symptoms of Anxiety Disorder or Depressive Disorder;National Estimate;United States;United States;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;35.9;35.0;36.8;35.0 - 36.8;
142;Symptoms of Anxiety Disorder or Depressive Disorder;By Age;United States;18 - 29 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;46.8;44.3;49.3;44.3 - 49.3;
143;Symptoms of Anxiety Disorder or Depressive Disorder;By Age;United States;30 - 39 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;39.6;37.7;41.5;37.7 - 41.5;
144;Symptoms of Anxiety Disorder or Depressive Disorder;By Age;United States;40 - 49 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;38.9;37.2;40.7;37.2 - 40.7;
145;Symptoms of Anxiety Disorder or Depressive Disorder;By Age;United States;50 - 59 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;35.8;34.0;37.7;34.0 - 37.7;
146;Symptoms of Anxiety Disorder or Depressive Disorder;By Age;United States;60 - 69 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;28.9;27.6;30.3;27.6 - 30.3;
